City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,86,27,20.71,scattered clouds
260,Zhigansk,RU,66.7697,123.3711,-25.53,96,100,13.73,overcast clouds
261,Igrim,RU,63.1906,64.4162,-18.85,99,11,1.97,few clouds
262,Natal,BR,-5.795,-35.2094,78.44,75,44,10.0,scattered clouds
263,Mount Pleasant,US,32.7941,-79.8626,57.34,83,100,5.99,overcast clouds
264,Corvallis,US,44.5646,-123.262,47.95,85,94,2.84,overcast clouds
265,Sandpoint,US,48.2766,-116.5533,33.94,75,0,4.61,clear sky
266,Airai,TL,-8.9266,125.4092,71.58,65,88,1.48,overcast clouds
267,Chokurdakh,RU,70.6333,147.9167,-24.48,99,99,8.3,overcast clouds
268,Cabo San Lucas,MX,22.8909,-109.9124,78.62,65,40,9.22,scattered clouds
269,Tuatapere,NZ,-46.1333,167.6833,71.29,43,98,1.43,overcast clouds
270,Haimen,CN,23.1935,116.6142,56.64,70,96,8.34,overcast clouds
271,Avera,US,33.194,-82.5271,53.11,79,100,6.11,overcast clouds
272,Alofi,NU,-19.0595,-169.9187,78.26,71,87,17.67,overcast clouds
273,Zhanakorgan,KZ,43.9098,67.2495,15.89,73,12,4.16,few clouds
274,Port Hawkesbury,CA,45.6169,-61.3485,28.9,92,100,10.0,light snow
275,Maraa,BR,-1.8333,-65.3667,73.49,96,97,0.81,overcast clouds
276,Makakilo City,US,21.3469,-158.0858,79.02,65,100,6.91,overcast clouds
277,Marienburg,PL,54.0359,19.0266,29.89,83,100,18.07,overcast clouds
278,Maloy,NO,61.9353,5.1136,24.53,53,65,5.99,broken clouds
279,Phuket,TH,8.0,98.25,83.08,89,20,1.14,few clouds
280,Roald,NO,62.5833,6.1333,23.14,68,0,11.5,clear sky
281,Wattegama,LK,6.7989,81.4808,70.29,87,87,2.24,overcast clouds
282,Zaysan,KZ,47.4667,84.8667,4.06,91,88,1.52,overcast clouds
283,Portland,US,45.5234,-122.6762,47.89,81,100,3.0,overcast clouds
284,Virginia Beach,US,36.8529,-75.978,45.01,67,100,4.0,overcast clouds
285,Athabasca,CA,54.7169,-113.2854,-3.91,97,17,5.12,few clouds
286,Port Lincoln,AU,-34.7333,135.8667,62.44,56,95,17.29,overcast clouds
287,Ayagoz,KZ,47.9714,80.4392,0.88,82,82,5.48,broken clouds
288,Lavrentiya,RU,65.5833,-171.0,5.2,86,16,15.61,few clouds
289,Kamina,CD,-8.7386,24.9906,61.83,99,100,5.01,heavy intensity rain
290,Achit,RU,56.7985,57.8994,15.31,79,96,8.41,overcast clouds
291,Pangai,TO,-19.8,-174.35,79.65,80,100,16.31,moderate rain
292,Montevideo,UY,-34.8335,-56.1674,66.51,71,49,14.0,scattered clouds
293,Botwood,CA,49.1499,-55.3482,23.9,95,100,2.37,overcast clouds
294,Vao,NC,-22.6667,167.4833,76.01,65,65,8.75,broken clouds
295,Rocha,UY,-34.4833,-54.3333,59.68,70,65,7.38,broken clouds
296,Domoni,KM,-12.2569,44.5319,78.12,86,50,7.11,light rain
297,Ribeira Grande,PT,38.5167,-28.7,61.77,78,62,17.0,broken clouds
298,Omboue,GA,-1.5746,9.2618,74.46,94,100,4.03,light rain
299,Maiduguri,NG,11.8464,13.1603,69.42,18,52,7.52,broken clouds
300,Yulara,AU,-25.2406,130.9889,77.83,19,89,16.02,overcast clouds
301,Lorengau,PG,-2.0226,147.2712,81.82,79,94,3.18,overcast clouds
302,Banda Aceh,ID,5.5577,95.3222,74.89,94,100,8.72,light rain
303,Nayoro,JP,44.3506,142.4578,30.02,74,86,3.85,overcast clouds
304,Paravola,GR,38.6167,21.5167,58.96,98,99,0.78,overcast clouds
305,Acapulco,MX,16.8634,-99.8901,78.15,77,40,6.93,scattered clouds
306,Visby,SE,57.6409,18.296,29.05,93,100,32.21,snow
307,Simi,SL,9.5667,-12.35,71.89,40,36,0.78,scattered clouds
308,Vikhorevka,RU,56.1201,101.1636,-12.77,99,79,1.63,broken clouds
309,Chimbarongo,CL,-34.7,-71.05,75.72,23,0,8.72,clear sky
310,Nagato,JP,34.3833,131.2,51.96,61,75,16.64,broken clouds
311,Berbera,SO,10.4396,45.0143,74.39,77,3,5.79,clear sky
312,Kurchum,KZ,48.5722,83.6542,3.15,91,100,1.7,overcast clouds
313,Faya,SA,18.3851,42.4509,46.92,78,0,1.66,clear sky
314,Olenegorsk,RU,68.15,33.3,-3.24,100,71,1.14,broken clouds
315,Carutapera,BR,-1.195,-46.02,77.72,81,76,6.53,broken clouds
316,Kamariotissa,GR,40.4833,25.4667,59.13,81,96,14.14,overcast clouds
